ml_slightly,Slightly,Слегка,,,,,,,,,,
ml_simple_extra_health,Health,Здоровье,,,,,,,,,,
ml_simple_extra_health_tp,Add $0 health,Добавляет $0 к здоровью,,,,,,,,,,
ml_extra_reward_choice,More options,Больше вариантов,,,,,,,,,,
ml_extra_reward_choice_tp,"Add $0 more option to reward choice, but you will skip next rewards","Добавляет $0 к списку наград, но вы пропускаете следующие уровни",,,,,,,,,,
ml_extra_reward_choice_clarify,"At this stage, you will skip $0 rewards","На данном этапе - вы пропустите $0 наград",,,,,,,,,,
ml_add_gold,Gold,Золото,,,,,,,,,,
ml_add_gold_tp,Add $0 gold,Добавляет $0 золота,,,,,,,,,,
ml_bloody_money,Bloody money,Кровавые деньги,,,,,,,,,,
ml_bloody_money_tp,Chance to spawn blood money on kills,Шанс спавна кровавых денег при убийствах,,,,,,,,,,
ml_spawn_chest,Chest,Сундук,,,,,,,,,,
ml_spawn_chest_tp,Spawn chest$0$1,Получить сундук$0$1,,,,,,,,,,
ml_but_better,", but better",", но лучше",,,,,,,,,,
ml_spell_low,low,низкого,,,,,,,,,,
ml_spell_mid,mid,среднего,,,,,,,,,,
ml_spell_high,high,высокого,,,,,,,,,,
ml_random_spell,Random spell,Случайное заклинание,,,,,,,,,,
ml_random_spell_tp,Spawn a random spell of $0 level,Создаёт случайное заклинание $0 уровня,,,,,,,,,,
ml_random_projectile,Random projectile,Случайный снаряд,,,,,,,,,,
ml_random_projectile_tp,Spawn a random projectile of $0 level,Создаёт случайный снаряд $0 уровня,,,,,,,,,,
ml_random_static_projectile,Random static projectile,Случайный статичный снаряд,,,,,,,,,,
ml_random_static_projectile_tp,Spawn a random static projectile of $0 level,Создаёт случайный статичный снаряд $0 уровня,,,,,,,,,,
ml_random_modifier,Random modifier,Случайный модификатор,,,,,,,,,,
ml_random_modifier_tp,Spawn a random modifier of $0 level,Создаёт случайный модификатор $0 уровня,,,,,,,,,,
ml_random_draw_many,Random multicast,Случайное множественное заклинание,,,,,,,,,,
ml_random_draw_many_tp,Spawn a random multicast of $0 level,Создаёт случайное множественное заклинание $0 уровня,,,,,,,,,,
ml_passive_spell,Random passive spell,Случайное пассивное заклинание,,,,,,,,,,
ml_passive_spell_tp,Spawn a random passive spell,Создаёт случайное пассивное заклинание,,,,,,,,,,
ml_material_spell,Random material spell,Случайное заклинание материала,,,,,,,,,,
ml_material_spell_tp,Spawn a random material spell of $0 level,Создаёт случайное заклинание материала $0 уровня,,,,,,,,,,
ml_random_utility,Random utility card,Случайное заклинание "полезное",,,,,,,,,,
ml_random_utility_tp,Spawn a random utility card of $0 level,Создаёт случайное полезное $0 уровня,,,,,,,,,,
ml_random_other,Random other card,Случайное заклинание "другое",,,,,,,,,,
ml_random_other_tp,Spawn a random other card of $0 level,Создаёт случайное другое $0 уровня,,,,,,,,,,
ml_random_spell_trigger_hit_world,Random trigger spell,Случайное заклинание активации,,,,,,,,,,
ml_random_spell_trigger_hit_world_tp,Spawn a random trigger spell,Создаёт случайное заклинание активации,,,,,,,,,,
ml_random_spell_trigger_death,Random trigger on death spell,Случайное заклинание активации при смерти,,,,,,,,,,
ml_random_spell_trigger_death_tp,Spawn a random trigger on death spell,Создаёт случайное заклинание активации при смерти,,,,,,,,,,
ml_random_spell_trigger_timer,Random timer spell,Случайное заклинание с таймером,,,,,,,,,,
ml_random_spell_trigger_timer_tp,Spawn a random timer spell,Создаёт случайное заклинание с таймером,,,,,,,,,,
ml_permanent_light,Permanent light,Постоянный свет,,,,,,,,,,
ml_permanent_light_tp,Adds permanent light,Добавляет постоянный свет,,,,,,,,,,
ml_permanent_light_increase_tp,Increase $0 of permanent light,Увеличивает $0 постоянного света,,,,,,,,,,
ml_radius,radius,радиус,,,,,,,,,,
ml_brightness,brightness,яркость,,,,,,,,,,
ml_peace_with_gods,Peace with Gods,Перемирие с Богами,,,,,,,,,,
ml_peace_with_gods_tp,Gods forgive you,Боги вас прощают,,,,,,,,,,
ml_piece_with_gods_message1,THE GODS HAVE FORGIVEN YOU..,БОГИ ВАС ПРОСТИЛИ..,,,,,,,,,,
ml_piece_with_gods_message2,..for now,..пока что,,,,,,,,,,
ml_forgetful_gods,Forgetful Gods,Забывчивые Боги,,,,,,,,,,
ml_forgetful_gods_tp,The gods will forget your sins,Боги забудут ваши грехи,,,,,,,,,,
ml_heal_spells,Random healing spell,Случайное заклинание лечения,,,,,,,,,,
ml_heal_spells_tp,Spawn a random healing spell,Создаёт случайное заклинание лечения,,,,,,,,,,
ml_faster_wand,Faster wand,Ускорение жезла,,,,,,,,,,
ml_faster_wand_tp,The wand you are holding become faster,Жезл у вас в руке становится быстрее,,,,,,,,,,
ml_faster_wand_delay,The wand you are holding will have less cast delay,У жезла у вашей руки уменьшается задержка заклинаний,,,,,,,,,,
ml_faster_wand_recharge,The wand you are holding will have less cooldown,У жезла у вашей руки уменьшается перезарядка,,,,,,,,,,
ml_wand_more_mana,More mana,Больше маны,,,,,,,,,,
ml_wand_more_mana_tp,The wand you are holding gains max mana,Жезл у вас в руке получает больше маны,,,,,,,,,,
ml_wand_more_recharge,More mana charge,Больше регенерации маны,,,,,,,,,,
ml_wand_more_recharge_tp,The wand you are holding gains more mana recharge,Жезл у вас в руке получает больше регенерации маны,,,,,,,,,,
ml_wand_more_capacity,More capacity,Больше объема,,,,,,,,,,
ml_wand_more_capacity_tp,The wand you are holding gains more capacity,Жезл у вас в руке вмещает больше заклинаний,,,,,,,,,,
ml_wand_more_capacity_tp_no_limit,The wand you are holding gains more capacity (no limit!),Жезл у вас в руке вмещает больше заклинаний (без лимита!),,,,,,,,,,
ml_wand_no_shuffle,No shuffle,Без случайностей,,,,,,,,,,
ml_wand_no_shuffle_tp,The wand you are holding will become non-shuffle,Жезл у вас в руке теряет случайный порядок,,,,,,,,,,
ml_wand_more_recharge_and_mana,Capable wand,Способный жезл,,,,,,,,,,
ml_wand_more_recharge_and_mana_tp,The wand you are holding gains more mana and mana charge,Жезл у вас в руке получает больше маны и регенерацию маны,,,,,,,,,,
ml_wand_lower_spread,Lower spread,Меньший разброс,,,,,,,,,,
ml_wand_lower_spread_tp,The wand you are holding will have less spread,Жезл у вас в руке будет иметь меньше разброса,,,,,,,,,,
ml_more_experience,More experience,Больше опыта,,,,,,,,,,
ml_more_experience_tp,Kills grant $0 more experience,Убийство приносит на $0 больше опыта,,,,,,,,,,
ml_more_experience_trick,Trick experience,Случайный опыт,,,,,,,,,,
ml_more_experience_trick_tp,Trick kills grant $0 more experience,Случайные убийства приносит на $0 больше опыта,,,,,,,,,,
ml_more_experience_betray,Stray experience,Шальной опыт,,,,,,,,,,
ml_more_experience_betray_tp,You will gain experience when you observe friendly fire,Вы будете получать опыт когда наблюдаете за дружественным огнём,,,,,,,,,,
ml_more_more_experience_betray,More stray experience,Больше шального опыта,,,,,,,,,,
ml_more_more_experience_betray_tp,You will gain 25% more stray experience,Вы будете получать на 25% больше шального опыта,,,,,,,,,,
ml_heal_con,Heal,Лечение,,,,,,,,,,
ml_heal_con_tp,Heal your for $0 hp,Лечит вас на $0 здоровья,,,,,,,,,,
ml_permanent_concentrated_mana,Permanent concentrated mana,Вечная концентрированная мана,,,,,,,,,,
ml_permanent_concentrated_mana_tp,"Gives you reduced, but permanent concentrated mana","Даёт вам ослабленную, но вечную концентрированную ману",,,,,,,,,,
ml_projectile_damage_increase,More projectile damage,Больше урона снарядами,,,,,,,,,,
