ml_experience,Experience,Опыт,Experiência,Exp,Erfahrung,Expérience,Esperienza,Doświadczenie,经验值,経験,경험치,,,,,,,,,,
ml_level,Level,Уровень,Nível,Nivel,Stufe,Niveau,Livello,Poziom,等级,レベル,레벨,,,,,,,,,,
ml_level_up,Level up,Новый уровень,Subir de nível,Subir nivel,Stufenaufstieg,Montée de niveau,Salire di livello,Awans,升级,レベルアップ,레벨 업,,,,,,,,,,
ml_level_up_tp,New level available,Доступен новый уровень,Novo nível disponível,Nuevo nivel disponible,Neue Stufe verfügbar,Nouveau niveau disponible,Nuovo livello disponibile,Nowy poziom dostępny,新等级可用,新しいレベルが利用可能,새로운 레벨 이용 가능,,,,,,,,,,
ml_level_skipped,you've skipped levels,вы пропустили уровни,você pulou níveis,has saltado niveles,Sie haben Stufen übersprungen,vous avez sauté des niveaux,hai saltato livelli,przegapiłeś poziomy,你跳过了等级,レベルをスキップしました,레벨을 건너뛰었습니다,,,,,,,,,,
ml_quest_done,Quest done,Квест выполнен,Missão concluída,Misión completada,Quest abgeschlossen,Quête terminée,Missione completata,Zadanie wykonane,任务完成,クエスト完了,퀘스트 완료,,,,,,,,,,
ml_pending,Pending,Доступно,Pendente,Pendiente,Ausstehend,En attente,In attesa,Oczekujące,待处理,保留中,대기 중,,,,,,,,,,
ml_close,Close,Закрыть,Fechar,Cerrar,Schließen,Fermer,Chiudi,Zamknij,关闭,閉じる,닫기,,,,,,,,,,
ml_close_tp,Close this window,Закрыть это окно,Fechar esta janela,Cierre esta ventana,Schließen Sie dieses Fenster,Fermez cette fenêtre,Chiudi questa finestra,Zamknij to okno,关闭此窗口,このウィンドウを閉じる,이 창을 닫기,,,,,,,,,,
ml_reroll,Reroll,Реролл,Relançar,Repetir,Neu würfeln,Réassigner,Rilanciare,Rzucaj ponownie,重投,リロール,다시 굴리기,,,,,,,,,,
ml_reroll_tp,Available rerolls,Доступные рероллы,Relançamentos disponíveis,Repeticiones disponibles,Verfügbare Neu-Würfe,Réassignations disponibles,Rilanci disponibili,Dostępne ponowne rzuty,可用的重新投掷,使用可能なリロール,사용 가능한 다시 굴리기,,,,,,,,,,
ml_current_rewards,Current rewards,Текущие бонусы,Recompensas atuais,Recompensas actuales,Aktuelle Belohnungen,Récompenses actuelles,Ricompense attuali,Aktualne nagrody,当前奖励,現在の報酬,현재 보상,,,,,,,,,,
ml_current_rewards_tp,Show picked rewards,Показать выбранные награды,Mostrar recompensas escolhidas,Mostrar recompensas seleccionadas,Ausgewählte Belohnungen anzeigen,Afficher les récompenses choisies,Mostra le ricompense scelte,Pokaż wybrane nagrody,显示已选择的奖励,選択済みの報酬を表示,선택한 보상 표시,,,,,,,,,,
ml_current_none,There is no rewards to show,Ещё нет никаких наград,Nenhuma recompensa para mostrar,No hay recompensas para mostrar,Keine Belohnungen zum Anzeigen,Il n'y a aucune récompense à afficher,Non ci sono ricompense da mostrare,Brak nagród do pokazania,没有可显示的奖励,表示する報酬はありません,표시할 보상이 없습니다,,,,,,,,,,
ml_exp_bar_tooltip,click to open UI,нажмите для открытия меню,clique para abrir a interface,haz clic para abrir la interfaz,"Klicke, um die Benutzeroberfläche zu öffnen",cliquez pour ouvrir l'interface,fai clic per aprire l'interfaccia,"kliknij, aby otworzyć interfejs",点击打开界面,UIを開くにはクリック,UI를 열려면 클릭하세요,,,,,,,,,,
ml_exp_bar_tooltip_force,right click to force open,нажмите правой кнопкой для принудительного открытия,clique com o botão direito para forçar abrir,haz clic derecho para forzar la apertura,Rechtsklick zum Erzwingen des Öffnens,Cliquez droit pour forcer l'ouverture,clic destro per forzare l'apertura,"kliknij prawym przyciskiem, aby wymusić otwarcie",右键点击强制打开,強制的に開くには右クリック,강제로 열려면 마우스 오른쪽 클릭,,,,,,,,,,
ml_skip,Skip,Пропустить,Pular,Saltar,Überspringen,Passer,Salta,Pomiń,跳过,スキップ,건너뛰기,,,,,,,,,
ml_skip_tp,You will gain 1 reroll per 2 skip,Вы получите 1 реролл за каждые 2 пропуска,Você ganhará 1 relançamento a cada 2 pulos,Obtendrás 1 repetición por cada 2 saltos,Sie erhalten 1 Neu-Wurf pro 2 Überspringen,Vous obtiendrez 1 réassignation pour chaque 2 sauts,Guadagnerai 1 rilancio ogni 2 salti,Otrzymasz 1 ponowne rzucenie na każde 2 pominięcia,每跳过2次，获得1次重新投掷,2回スキップするごとに1回のリロールを獲得,2번 건너뛸 때마다 1번 다시 굴리기 획득,,,,,,,,,,
ml_meta,Meta,Мета,Meta,Meta,Meta,Méta,Meta,Meta,元,メタ,메타,,,,,,,,,,
ml_meta_tp,Open meta progression menu,Открыть меню мета прогрессии,Abrir menu de progressão meta,Abrir el menú de progresión meta,Meta-Fortschrittsmenü öffnen,Ouvrir le menu de progression méta,Apri il menu della progressione meta,Otwórz menu postępów meta,打开元进度菜单,メタ進行メニューを開く,메타 진행 메뉴 열기,,,,,,,,,,
ml_meta_points,points,очков,pontos,puntos,Punkte,points,punti,punkty,点,ポイント,포인트,,,,,,,,,,
ml_meta_available,available points,доступно очков,pontos disponíveis,puntos disponibles,verfügbare Punkte,points disponibles,punti disponibili,dostępne punkty,可用点数,利用可能なポイント,사용 가능한 포인트,,,,,,,,,,
ml_meta_available_tp,Win the game or do cool stuff to get points,Победите в игре или сделайте что-то крутое чтобы получить очки,Vença o jogo ou faça algo legal para obter pontos,Gana el juego o haz cosas geniales para obtener puntos,"Schließe das Spiel ab oder mache coole Sachen, um Punkte zu erhalten",Gagnez le jeu ou faites des trucs cool pour obtenir des points,Vinci il gioco o fai qualcosa di straordinario per ottenere punti,"Wygraj grę lub zrób coś świetnego, aby zdobyć punkty",赢得比赛或做很酷的事情来获得点数,ゲームに勝つか素敵なことをしてポイントを獲得する,게임에서 승리하거나 멋진 일을 하여 포인트 획득,,,,,,,,,,
ml_meta_acquired_in_run,acquired this run,получено в этом забеге,Aquis na corrida atual,adquirido en esta partida,während dieses Laufs erworben,acquis lors de cette partie,acquisito in questa corsa,zdobyto w tym biegu,在本次运行中获得,この実行で取得,이번 실행에서 획득,,,,,,,,,,
ml_cost,Cost,Стоимость,Custo,Costo,Kosten,Coût,Costo,Koszt,成本,コスト,비용,,,,,,,,,,
ml_cost_return,You will get back,Вы получите обратно,Você receberá de volta,Recibirás de vuelta,Sie werden zurückbekommen,Vous récupérerez,Riceverai indietro,Odyskasz,你会收回,取り戻す,되찾기,,,,,,,,,,
ml_meta_current,Current bonus,Текущий бонус,Bônus atual,Bonificación actual,Aktueller Bonus,Bonus actuel,Bonus attuale,Obecny bonus,当前奖励,現在のボーナス,현재 보너스,,,,,,,,,,
ml_meta_next,On new game,В новой игре,No novo jogo,En un nuevo juego,Im neuen Spiel,Dans une nouvelle partie,In un nuovo gioco,W nowej grze,在新游戏中,新しいゲームで,새 게임에서,,,,,,,,,,
ml_killed,Killed,Убит,Morto,Muerto,Getötet,Tué,Ucciso,Zabity,被杀,倒された,사망,,,,,,,,,,
ml_died,Died,Умер,Morreu,Murió,Gestorben,Mort,Morto,Zginął,死亡,死んだ,죽음,,,,,,,,,,
ml_cause,cause,причина,causa,causa,Ursache,cause,cause,przyczyna,原因,原因,원인,,,,,,,,,,
ml_gained_xp,exp gained,получено опыта,XP ganho,experiencia obtenida,EP gewonnen,expérience gagnée,exp guadagnata,doświadczenie zdobyte,获得的经验,得た経験,획득한 경험,,,,,,,,,,
ml_stats_exp_multiplier,Experience multiplier,Множитель опыта,Multiplicador de experiência,Multiplicador de experiencia,Erfahrungs-Multiplikator,Multiplicateur d'expérience,Moltiplicatore di esperienza,Mnożnik doświadczenia,经验倍率,経験値倍率,경험치 배수,,,,,,,,,,
ml_stats_per_minute,per minute,в минуту,por minuto,por minuto,pro Minute,par minute,al minuto,na minutę,每分钟,毎分,분당,,,,,,,,,,
ml_stats_streak,Win streak,Побед подряд,Sequência de vitórias,Racha de victorias,Siegesserie,Série de victoires,Serie di vittorie,Seria zwycięstw,连胜,連勝,연승,,,,,,,,,,
ml_lag_warning,"May cause lags, be cautious","Может вызвать лаги - будьте осторожны","Pode causar atrasos, tenha cuidado","Puede causar lag, tenga cuidado","Kann zu Lags führen, seien Sie vorsichtig","Peut causer des ralentissements, soyez prudent","Può causare rallentamenti, fai attenzione","Może powodować opóźnienia, zachowaj ostrożność","可能会导致延迟，请小心","ラグが発生する可能性があります。ご注意ください","지연이 발생할 수 있으니 주의하세요",,,,,,,,,,,
ml_stats,Stats,Статы,Estatísticas,Estadísticas,Statistiken,Statistiques,Statistiche,Statystyki,统计,統計,통계,,,,,,,,,,
ml_stats_tp,Open stats menu,Открыть меню статистики,Abrir menu de estatísticas,Abrir el menú de estadísticas,Statistikmenü öffnen,Ouvrir le menu des statistiques,Apri il menu delle statistiche,Otwórz menu statystyk,打开统计菜单,統計メニューを開く,통계 메뉴 열기,,,,,,,,,,
ml_rewards_progression,Progression,Прогресс,Progressão,Progresión,Fortschritt,Progression,Progressione,Postęp,进度,進行状況,진행,,,,,,,,,,
ml_rewards_progression_tp,Show unlocked rewards,Показать разблокированные награды,Mostrar recompensas desbloqueadas,Mostrar recompensas desbloqueadas,Freigeschaltete Belohnungen anzeigen,Afficher les récompenses débloquées,Mostra le ricompense sbloccate,Pokaż odblokowane nagrody,显示已解锁奖励,アンロックされた報酬を表示,잠금 해제된 보상을 표시,,,,,,,,,,
ml_rewards_progression_picked,Picked up,Взято,Pegado,Recogido,Eingesammelt,Ramassé,Raccolto,Zebrane,已拾取,取得済み,줍기,,,,,,,,,,
ml_rewards_added_by,Added by,Добавлено,Adicionado por,Añadido por,Hinzugefügt von,Ajouté par,Aggiunto da,Dodane przez,添加者,追加者,추가한 사람,,,,,,,,,,
ml_stats_meta_points_on_win,Meta points on win,Мета очки при победе,Pontos meta por vitória,Puntos meta por victoria,Meta-Punkte pro Sieg,Points méta à la victoire,Punti meta per vittoria,Punkty meta za zwycięstwo,胜利时的元点数,勝利時のメタポイント,승리 시 메타 포인트,,,,,,,,,,
ml_stats_bonus_point_speed,Speed bonus,Бонус за скорость,Bônus de velocidade,Bono por velocidad,Speed-Bonus,Bonus de vitesse,Bonus per velocità,Bonus za szybkość,速度加成,スピードボーナス,속도 보너스,,,,,,,,,,
ml_stats_bonus_point_pacifist,Pacifist bonus,Бонус за пацифизм,Bônus por pacifismo,Bono pacifista,Pazifismus-Bonus,Bonus pacifiste,Bonus pacifista,Bonus za pacyfizm,和平主义加成,平和主義者ボーナス,평화주의 보너스,,,,,,,,,,
ml_stats_bonus_point_no_hit,No hit bonus,Бонус за отсутствие урона,Bônus por não ser atingido,Bono por no recibir daño,Kein Treffer-Bonus,Bonus sans dommage,Bonus senza danno,Bonus za brak obrażeń,无伤加成,被弾なしボーナス,노 데미지 보너스,,,,,,,,,,
